,,,,,,,,,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019, 5 Year PNA , 5 Year PNA ,5 Year PNA, 20 Year PNA , 20 Year PNA ,20 Year PNA,,,,,
Development,PACT,Build to Preserve,Comprehensive Modernization A (lead),Comprehensive Modernization B (5 Year needs > 60% new construction ratio),Partial Modernization (Single Component Replacement),2019 IC Categories,Dwelling UNITS,Building to Land COV%,Rate Per 100 Units (Leak WO Created),Rate Per 100 Units (Mold WO Created),Percent Household with Children Under 6,Number of units with lead paint, 5 Year PNA Total  , Per Unit (5 Year PNA) ,5 Years Cost of needs per unit to new const. ratio ($400K), 20 Year PNA , Per Unit (20 Year PNA) ,20 Year Cost of needs per unit to new const. ratio ($400K),,,,,
CHELSEA,,YES,,,,Build to Preserve/Air right/ Affordable Housing,425,24.91%,130.8,58.2,8.51,0," $57,135,542 "," $134,437 ",34%," $92,779,624 "," $218,305 ",55%,,,,,
CHELSEA ADDITION,,YES,,,,Build to Preserve/Air right/ Affordable Housing,96,32.22%,129.8,4.3,0.00,0," $17,570,179 "," $183,023 ",46%," $27,465,820 "," $286,102 ",72%,,,,,
ELLIOTT,,YES, ,,,Build to Preserve/Air right/ Affordable Housing,608,22.01%,246.0,62.6,8.02,423," $100,546,777 "," $165,373 ",41%," $139,182,628 "," $228,919 ",57%,,,,,
FULTON,,YES,,,,Build to Preserve/Air right/ Affordable Housing,944,25.88%,91.8,48.3,9.79,0," $167,357,795 "," $177,286 ",44%," $232,126,252 "," $245,896 ",61%,,,,,
HARBORVIEW TERRACE,,YES,,,,Build to Preserve/Air right/ Affordable Housing,377,18.81%,86.3,26.1,3.74,0," $45,504,097 "," $120,701 ",30%," $84,650,270 "," $224,537 ",56%,,,,,
LA GUARDIA,,YES,,,,Build to Preserve/Air right/ Affordable Housing,"1,094",13.55%,136.1,75.9,8.62,0," $174,239,790 "," $159,269 ",40%," $235,831,807 "," $215,568 ",54%,,,,,
LA GUARDIA ADDITION,,YES,,,,Build to Preserve/Air right/ Affordable Housing,150,21.56%,55.1,2.7,0.00,0," $21,125,839 "," $140,839 ",35%," $26,945,073 "," $179,634 ",45%,,,,,
131 SAINT NICHOLAS AVENUE,,,YES,,,Comprehensive Modernization (lead),100,19.62%,162.1,47.4,8.25,61," $17,775,734 "," $177,757 ",44%," $30,528,707 "," $305,287 ",76%,,,,,
344 EAST 28TH STREET,,,YES,,,Comprehensive Modernization (lead),225,17.67%,147.0,37.9,6.67,123," $29,438,521 "," $130,838 ",33%," $46,550,008 "," $206,889 ",52%,,,,,
830 AMSTERDAM AVENUE,,,YES,,,Comprehensive Modernization (lead),159,27.01%,253.5,69.0,9.49,138," $27,459,015 "," $172,698 ",43%," $41,259,449 "," $259,493 ",65%,,,,,
AMSTERDAM,,,YES,,,Comprehensive Modernization (lead),"1,084",22.49%,196.0,92.0,9.04,880," $196,264,436 "," $181,056 ",45%," $277,132,836 "," $255,658 ",64%,,,,,
BARUCH,,,YES,,,Comprehensive Modernization (lead),"2,194",13.38%,179.5,66.0,8.26,"1,496"," $383,844,256 "," $174,952 ",44%," $490,465,506 "," $223,549 ",56%,,,,,
BLAND,,,YES,,,Comprehensive Modernization (lead),400,16.03%,170.8,35.0,6.77,280," $77,496,183 "," $193,740 ",48%," $108,756,312 "," $271,891 ",68%,,,,,
BREVOORT,,,YES,,,Comprehensive Modernization (lead),896,16.14%,111.3,47.0,11.53,516," $180,945,449 "," $201,948 ",50%," $252,987,950 "," $282,353 ",71%,,,,,
BRONX RIVER,,,YES,,,Comprehensive Modernization (lead),"1,246",13.87%,177.7,49.8,13.72,661," $244,147,843 "," $195,945 ",49%," $293,874,425 "," $235,854 ",59%,,,,,
CASTLE HILL,,,YES,,,Comprehensive Modernization (lead),"2,025",9.82%,172.3,100.8,12.66,"1,325"," $313,387,531 "," $154,759 ",39%," $447,716,284 "," $221,094 ",55%,,,,,
COOPER PARK,,,YES,,,Comprehensive Modernization (lead),700,16.40%,111.6,74.3,12.10,439," $119,595,698 "," $170,851 ",43%," $184,183,568 "," $263,119 ",66%,,,,,
DYCKMAN,,,YES,,,Comprehensive Modernization (lead),"1,167",13.11%,139.3,69.7,9.14,693," $189,132,306 "," $162,067 ",41%," $250,537,733 "," $214,685 ",54%,,,,,
GLENMORE PLAZA,,,YES,,,Comprehensive Modernization (lead),440,13.34%,233.3,33.3,16.13,278," $73,839,321 "," $167,817 ",42%," $123,608,665 "," $280,929 ",70%,,,,,
GRANT,,,YES,,,Comprehensive Modernization (lead),"1,940",15.48%,229.9,80.9,10.08,"1,238"," $354,142,539 "," $182,548 ",46%," $414,437,677 "," $213,628 ",53%,,,,,
GRAVESEND,,,YES,,,Comprehensive Modernization (lead),634,17.17%,194.6,110.0,14.47,504," $124,598,289 "," $196,527 ",49%," $182,945,420 "," $288,557 ",72%,,,,,
GUN HILL,,,YES,,,Comprehensive Modernization (lead),733,15.84%,105.9,56.7,12.09,467," $114,447,244 "," $156,135 ",39%," $162,669,917 "," $221,923 ",55%,,,,,
HAMMEL,,,YES,,,Comprehensive Modernization (lead),712,17.47%,181.6,86.3,22.21,343," $132,939,619 "," $186,713 ",47%," $194,196,132 "," $272,747 ",68%,,,,,
HIGHBRIDGE GARDENS,,,YES,,,Comprehensive Modernization (lead),700,10.12%,137.0,36.8,12.61,385," $117,164,584 "," $167,378 ",42%," $166,589,839 "," $237,985 ",59%,,,,,
KINGSBOROUGH,,,YES,,,Comprehensive Modernization (lead),"1,165",18.57%,208.3,80.9,16.65,530," $182,120,349 "," $156,326 ",39%," $268,473,837 "," $230,450 ",58%,,,,,
LINCOLN,,,YES,,,Comprehensive Modernization (lead),"1,286",19.35%,166.0,62.6,12.82,821," $239,380,664 "," $186,144 ",47%," $315,254,910 "," $245,144 ",61%,,,,,
MARBLE HILL,,,YES,,,Comprehensive Modernization (lead),"1,682",15.40%,186.3,56.8,11.53,"1,112"," $289,515,340 "," $172,126 ",43%," $335,890,474 "," $199,697 ",50%,,,,,
MARLBORO,,,YES,,,Comprehensive Modernization (lead),"1,765",13.33%,123.9,63.9,10.91,954," $315,635,113 "," $178,830 ",45%," $462,609,512 "," $262,102 ",66%,,,,,
MILL BROOK,,,YES,,,Comprehensive Modernization (lead),"1,255",14.17%,238.0,46.7,12.54,945," $214,171,269 "," $170,654 ",43%," $295,694,526 "," $235,613 ",59%,,,,,
MILL BROOK EXTENSION,,,YES,,,Comprehensive Modernization (lead),125,38.49%,154.5,50.4,9.60,94," $19,920,941 "," $159,368 ",40%," $26,808,912 "," $214,471 ",54%,,,,,
