Project Name,Consolidation Name,Development Name,Total Units,5-Yr PNA Whole,Status,Conversion Date / Anticipated Conversion Date,Development Team,Property Manager,Social Service Provider
Ocean Bay,-,OCEAN BAY APARTMENTS (BAYSIDE),1395,0,Converted,12/31/16,MDG Design + Construction,Wavecrest Management,Catholic Charities Community Services of the Archdiocese of Brooklyn & Queens/Ocean Bay CDC
Twin Parks West,-,TWIN PARKS WEST (SITES 1 & 2),312,0,Converted,10/31/18,Gilbane Development,Kraus Management,Bronxworks
Betances,-,BETANCES I,309,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,"BETANCES II, 13",51,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,"BETANCES II, 18",78,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,"BETANCES II, 9A",46,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,"BETANCES III, 13",22,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,"BETANCES III, 18",19,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,"BETANCES III, 9A",26,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,BETANCES IV,282,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,BETANCES V,100,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Betances,-,BETANCES VI,155,0,Converted,11/16/18,MDG Design + Construction,Wavecrest Management,Catholic Charities Archdiocese of New York
Highbridge Franklin,-,FRANKLIN AVENUE I CONVENTIONAL,61,0,Converted,11/30/18,Gilbane Development,Kraus Management,Bronxworks
Highbridge Franklin,-,FRANKLIN AVENUE II CONVENTIONAL,45,0,Converted,11/30/18,Gilbane Development,Kraus Management,Bronxworks
Highbridge Franklin,-,FRANKLIN AVENUE III CONVENTIONAL,15,0,Converted,11/30/18,Gilbane Development,Kraus Management,Bronxworks
Highbridge Franklin,-,HIGHBRIDGE REHABS (ANDERSON AVENUE),135,0,Converted,11/30/18,Gilbane Development,Kraus Management,Bronxworks
Highbridge Franklin,-,HIGHBRIDGE REHABS (NELSON AVENUE),80,0,Converted,11/30/18,Gilbane Development,Kraus Management,Bronxworks
Baychester/ Murphy,-,BAYCHESTER,441,0,Converted,12/27/18,MBD Community Housing Corporation/L+M Development Partners/ Camber Property Group,C+C Apartment Management,Bronxworks
Baychester/ Murphy,-,MURPHY,281,0,Converted,12/27/18,MBD Community Housing Corporation/L+M Development Partners/ Camber Property Group,C+C Apartment Management,Bronxworks
Hope Gardens,-,BUSHWICK II (GROUPS A & C),300,0,Converted,7/18/19,Hunt/Pennrose,Pinnacle,Acacia Network
Hope Gardens,-,BUSHWICK II (GROUPS B & D),300,0,Converted,7/18/19,Hunt/Pennrose,Pinnacle,Acacia Network
Hope Gardens,-,BUSHWICK II CDA (GROUP E),276,0,Converted,7/18/19,Hunt/Pennrose,Pinnacle,Acacia Network
Hope Gardens,-,HOPE GARDENS,330,0,Converted,7/18/19,Hunt/Pennrose,Pinnacle,Acacia Network
Hope Gardens,-,PALMETTO GARDENS,115,0,Converted,7/18/19,Hunt/Pennrose,Pinnacle,Acacia Network
PACT Brooklyn Bundle,-,572 WARREN STREET,200,0,Converted,2/12/20,Omni New York/Arker Company/Dabar Development/ Bedford Stuyvesant Restoration Corporation,Reliant Property Management/Progressive Property Management,Bedford Stuyvesant Restoration Corporation
PACT Brooklyn Bundle,-,ARMSTRONG I,371,0,Converted,2/12/20,Omni New York/Arker Company/Dabar Development/ Bedford Stuyvesant Restoration Corporation,Reliant Property Management/Progressive Property Management,Bedford Stuyvesant Restoration Corporation
PACT Brooklyn Bundle,-,ARMSTRONG II,248,0,Converted,2/12/20,Omni New York/Arker Company/Dabar Development/ Bedford Stuyvesant Restoration Corporation,Reliant Property Management/Progressive Property Management,Bedford Stuyvesant Restoration Corporation
PACT Brooklyn Bundle,-,BERRY STREET-SOUTH 9TH STREET,150,0,Converted,2/12/20,Omni New York/Arker Company/Dabar Development/ Bedford Stuyvesant Restoration Corporation,Reliant Property Management/Progressive Property Management,Bedford Stuyvesant Restoration Corporation
PACT Brooklyn Bundle,-,INDEPENDENCE,744,0,Converted,2/12/20,Omni New York/Arker Company/Dabar Development/ Bedford Stuyvesant Restoration Corporation,Reliant Property Management/Progressive Property Management,Bedford Stuyvesant Restoration Corporation
PACT Brooklyn Bundle,-,MARCY AVENUE-GREENE AVENUE SITE A,48,0,Converted,2/12/20,Omni New York/Arker Company/Dabar Development/ Bedford Stuyvesant Restoration Corporation,Reliant Property Management/Progressive Property Management,Bedford Stuyvesant Restoration Corporation
